platename,predictplate Date &,date&time,time,Location,,,,,,,,,,,,,,,,,
4LLLLPA,APLLLL4,"07/09/2019,02.39.31",21.31.19,malibag,,,,,,Search,4LLLLPA,,,,,,,,,,Combine Database Excel
,,"07/09/2019,02.39.32",21.31.20,malibag,,,,,,,,,,,,,,,,,
MHO1AY8866,MHO1AY8866,"07/09/2019,02.39.33",21.31.21,malibag,,,,,,,,,,,,,,,,,
,,"07/09/2019,02.39.34",21.31.22,malibag,,,,,,,,,,,,,,,,,
MCLRNF1,MCLRNF1,"07/09/2019,02.39.35",21.31.23,malibag,,,,,,,,,,,,,,,,,
,,"07/09/2019,02.39.36",21.31.24,malibag,,,,,,,,,,,,,,,,,
LLS07LLILI,LLS07LLILI,"07/09/2019,02.39.37",21.31.25,malibag,,,,,,,,,,,,,,,,,
,,"07/09/2019,02.39.38",21.31.26,malibag,,,,,,,,,,,,,,,,,
TS0LFL35L3,TS0LFL35L3,"07/09/2019,02.39.39",21.31.27,malibag,,,,,,,,,,,,,,,,,
,,"07/09/2019,02.39.40",21.31.28,malibag,,,,,,,,,,,,,,,,,
4LLLLPA,APLLLL4,"09/09/2019,02.39.41",21.31.29,malibag,,,,,,,,,,,,,,,,,
,,"08/09/2019,02.39.42",21.31.30,malibag,,,,,,,,,,,,,,,,,
4LLLLPA,APLLLL4,"08/09/2019,02.39.43",21.31.31,JU,,,,,,,,,,,,,,,,,
,,"08/09/2019,02.39.44",21.31.32,JU,,,,,,,,,,,,,,,,,
4LLLLPA,APLLLL4,"08/09/2019,02.39.45",21.31.33,JU,,,,,,,,,,,,,,,,,
,,"08/09/2019,02.39.46",21.31.34,JU,,,,,,,,,,,,,,,,,
4LLLLPA,APLLLL4,"08/09/2019,02.39.47",21.31.35,JU,,,,,,,,,,,,,,,,,
,,"08/09/2019,02.39.48",21.31.36,JU,,,,,,,,,,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.49",21.31.37,JU,,,,,,,,,,,,,,,,,
,,"08/09/2019,02.39.50",21.31.38,JU,,,,,,,,,,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"08/09/2019,02.39.51",21.31.39,JU,,,,,,,,,,,,,,,,,
,,"08/09/2019,02.39.52",23.31.09,JU,,,,,,,,,,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.53",23.31.10,JU,,,,,,,,,,,,,,,,,
,,"09/09/2019,02.39.54",23.31.11,JU,,,,,,,,,,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.55",23.31.12,JU,,,,,,,,,,,,,,,,,
,,"09/09/2019,02.39.56",23.31.13,JU,,,,,,,,,,,,,,,,,
LLS07LLJLJ4,LLS07LLJLJ4,"09/09/2019,02.39.57",23.31.14,JU,,,,,,,,,,,,,,,,,
,,"09/09/2019,02.39.58",23.31.15,malibag,,,,,,,,,,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.59",23.31.16,malibag,,,,,,,,,,,,,,,,,
,,"09/09/2019,02.39.60",23.31.17,malibag,,,,,,,,,,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.61",23.31.18,malibag,,,,,,,,,,,,,,,,,
,,"09/09/2019,02.39.62",23.31.19,malibag,,,,,,,,,,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.63",23.31.20,malibag,,,,,,,,,,,,,,,,,
,,"09/09/2019,02.39.64",23.31.21,malibag,,,,,,,,,,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"09/09/2019,02.39.65",23.31.22,malibag,,,,,,,,,,,,,,,,,
,,"09/09/2019,02.39.66",23.31.23,malibag,,,,,,,,,,,,,,,,,
LLS07LLJL34,LLS07LLJL34,"10/09/2019,02.39.67",23.31.24,malibag,,,,,,,,,,,,,,,,,
,,"10/09/2019,02.39.68",23.31.25,malibag,,,,,,,,,,,,,,,,,
